epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
7,94.5336,1.64338,3.04082,1.9928,0.00258,0.77273,0.49407,0.25708,1.39835,3.95333,1.82726,0.00010556,0.00010556,0.00010556
8,107.5,1.61463,3.57241,1.74422,0.00258,0.77273,0.52936,0.33246,1.33809,3.87643,1.69954,9.21e-05,9.21e-05,9.21e-05
9,120.579,1.51648,3.07352,1.79579,0.00258,0.77273,0.57871,0.34837,1.28719,3.85554,1.61908,7.072e-05,7.072e-05,7.072e-05
10,133.584,1.30022,2.76568,1.53626,0.00258,0.77273,0.57656,0.35035,1.26548,3.80593,1.60385,4.142e-05,4.142e-05,4.142e-05
1,54.8558,1.98576,3.57712,2.10948,0.00227,0.68182,0.0738,0.02777,1.77609,4.56236,2.46924,2e-05,2e-05,2e-05
2,73.8111,1.87648,3.41229,2.00089,0.00258,0.77273,0.22427,0.08606,1.71409,4.30803,2.3169,5.802e-05,5.802e-05,5.802e-05
3,87.9839,2.20253,3.33621,2.19252,0.00258,0.77273,0.33603,0.11528,1.58686,4.23017,2.13088,9.34e-05,9.34e-05,9.34e-05
4,101.516,1.70994,3.06143,1.88472,0.00258,0.77273,0.32846,0.13412,1.49285,4.00712,1.98445,0.00012614,0.00012614,0.00012614
5,115.27,1.94392,2.99764,1.97038,0.00258,0.77273,0.43559,0.1582,1.41112,3.98709,1.91011,0.00015624,0.00015624,0.00015624
6,128.766,1.59376,2.51605,1.75405,0.00273,0.81818,0.44197,0.1902,1.34827,3.94873,1.78097,0.0001837,0.0001837,0.0001837
7,142.209,1.86562,2.64283,1.73334,0.00288,0.86364,0.55224,0.24888,1.26425,3.87634,1.7007,0.00020852,0.00020852,0.00020852
8,155.551,1.78788,2.25795,1.77978,0.00333,1,0.61648,0.28655,1.34736,3.76713,1.68251,0.0002307,0.0002307,0.0002307
9,169.664,1.51243,2.38189,1.59345,0.00333,1,0.6401,0.28939,1.39657,3.72548,1.67022,0.00025024,0.00025024,0.00025024
10,182.834,1.44411,2.08661,1.58643,0.00318,0.95455,0.63671,0.29949,1.41486,3.70947,1.69256,0.00026714,0.00026714,0.00026714
11,195.963,1.50343,2.09907,1.58824,0.00318,0.95455,0.69479,0.29955,1.40959,3.66096,1.64932,0.0002814,0.0002814,0.0002814
12,209.053,1.50063,1.9264,1.58603,0.00318,0.95455,0.74361,0.33624,1.30283,3.61863,1.57588,0.00029302,0.00029302,0.00029302
13,222.695,1.15682,1.7285,1.32476,0.00318,0.95455,0.74563,0.38259,1.24423,3.51725,1.52769,0.000302,0.000302,0.000302
14,236.513,1.56916,2.06549,1.72497,0.00318,0.95455,0.74481,0.40383,1.28656,3.48567,1.5147,0.00030834,0.00030834,0.00030834
15,250.566,1.33738,1.67688,1.42315,0.00318,0.95455,0.72752,0.39377,1.24836,3.44642,1.50097,0.00031204,0.00031204,0.00031204
16,264.333,1.36551,1.70964,1.50802,0.00525,0.80335,0.72935,0.44144,1.18501,3.37057,1.46266,0.0003131,0.0003131,0.0003131
17,277.541,1.25693,1.54293,1.33108,0.00365,0.95455,0.72931,0.44958,1.14992,3.40952,1.43297,0.00031152,0.00031152,0.00031152
18,290.847,1.32699,1.68444,1.35401,0.00318,0.95455,0.71503,0.44065,1.14591,3.39428,1.41855,0.0003073,0.0003073,0.0003073
19,303.887,1.2898,1.668,1.43999,0.00364,0.95455,0.69917,0.42152,1.12009,3.42587,1.42324,0.00030044,0.00030044,0.00030044
20,316.983,1.38253,1.84436,1.47956,0.00318,0.95455,0.70476,0.42747,1.10713,3.40304,1.41455,0.00029094,0.00029094,0.00029094
21,330.459,1.52159,2.26686,1.58103,0.00318,0.95455,0.71433,0.44244,1.06475,3.392,1.3643,0.0002788,0.0002788,0.0002788
22,343.926,1.2921,2.13515,1.50569,0.00318,0.95455,0.76323,0.44095,1.03735,3.40187,1.32117,0.00026402,0.00026402,0.00026402
23,356.928,1.05596,2.16561,1.26304,0.00318,0.95455,0.77336,0.46272,1.06993,3.37511,1.33936,0.0002466,0.0002466,0.0002466
24,370.496,1.22732,2.22832,1.41176,0.00481,0.77273,0.77336,0.46103,1.06698,3.39818,1.32639,0.00022654,0.00022654,0.00022654
25,383.86,1.12234,2.15831,1.32159,1,0.40997,0.77336,0.4256,1.1124,3.36772,1.35041,0.00020384,0.00020384,0.00020384
26,396.873,1.09988,1.93856,1.40864,1,0.13739,0.77335,0.47898,1.1096,3.33875,1.34839,0.0001785,0.0001785,0.0001785
27,409.973,1.14097,2.16859,1.42354,1,0.37054,0.78499,0.50465,1.07325,3.2924,1.30638,0.00015052,0.00015052,0.00015052
28,422.973,1.18273,1.92782,1.33154,1,0.37054,0.78499,0.50465,1.07325,3.2924,1.30638,0.0001199,0.0001199,0.0001199
29,435.918,1.1651,1.88488,1.33434,1,0.39826,0.78767,0.52682,1.04283,3.2227,1.27109,8.664e-05,8.664e-05,8.664e-05
30,449.014,1.17816,2.05004,1.3927,1,0.45973,0.79415,0.53011,1.00038,3.16768,1.24316,5.074e-05,5.074e-05,5.074e-05
1,33.3027,2.09203,4.06697,2.59268,0.00258,0.77273,0.06751,0.02001,2.06259,4.00646,2.45938,0.09901,1e-05,1e-05
2,57.128,1.77533,3.37386,2.09136,0.00332,0.81818,0.05684,0.01364,2.1695,3.93178,2.53344,0.0970297,2.9703e-05,2.9703e-05
3,70.7535,1.73627,3.26019,1.9394,0.00378,0.45455,0.06434,0.01348,2.30597,3.89066,2.67843,0.095049,4.901e-05,4.901e-05
4,79.4005,1.98971,3.02166,1.95316,0.00396,0.54545,0.1261,0.03124,2.52824,3.79057,2.65351,0.0930679,6.7921e-05,6.7921e-05
5,110.133,2.11087,2.89974,2.10698,0.00441,0.63636,0.0819,0.0202,2.66458,3.76993,2.72043,0.0910864,8.6436e-05,8.6436e-05
6,130.602,1.6424,2.6931,2.05077,0.00467,0.72727,0.13467,0.02937,2.68395,3.69111,2.845,0.0891046,0.000104555,0.000104555
7,144.14,1.80392,2.70302,1.85515,0.00354,0.72727,0.18389,0.02406,3.05944,3.65157,3.28785,0.0871223,0.000122278,0.000122278
8,157.839,1.57332,2.19228,1.70286,0.00342,0.72727,0.11259,0.01822,3.23463,3.59568,3.74092,0.0851396,0.000139605,0.000139605
9,172.045,1.72,1.98883,1.69957,0.00402,0.81818,0.04234,0.01359,3.14795,3.66246,3.57463,0.0831565,0.000156536,0.000156536
10,187.899,1.72212,2.08596,1.83735,0.00399,0.68182,0.08491,0.01761,2.93143,3.6721,3.10875,0.0811731,0.000173071,0.000173071
11,205.615,1.5904,1.73691,1.75866,0.00503,0.68182,0.06951,0.01113,3.00582,3.64348,2.88073,0.0791892,0.00018921,0.00018921
12,236.715,1.57807,1.57098,1.76116,0.00628,0.72727,0.08753,0.01666,2.81787,3.69488,2.60081,0.077205,0.000204953,0.000204953
13,249.712,1.69607,2.06249,1.8756,0.00581,0.63636,0.06865,0.01583,2.66563,3.67364,2.577,0.0752203,0.0002203,0.0002203
14,270.001,1.4705,1.70696,1.90183,0.00618,0.68182,0.10184,0.03065,2.37702,3.55585,2.31764,0.0732353,0.000235251,0.000235251
15,283.589,1.70577,1.57397,1.80203,0.00745,0.77273,0.23583,0.05762,2.16557,3.43801,2.18636,0.0712498,0.000249806,0.000249806
16,293.675,1.44857,1.218,1.60777,0.01092,0.81818,0.35872,0.10043,2.11105,3.37061,2.13943,0.069264,0.000263965,0.000263965
17,317.688,1.58747,1.68841,2.12663,0.01638,0.72727,0.29223,0.0981,2.09846,3.4264,2.12027,0.0672777,0.000277728,0.000277728
18,330.308,1.34693,1.31181,1.53808,0.02143,0.68182,0.25713,0.08665,2.07484,3.46278,2.1239,0.0652911,0.000291095,0.000291095
19,344.578,1.3904,1.3119,1.65684,0.02896,0.68182,0.31768,0.08255,1.92891,3.52479,2.03685,0.0633041,0.000304066,0.000304066
20,356.788,1.49313,1.39002,1.53488,0.03632,0.68182,0.41052,0.12963,1.75977,3.52629,1.8709,0.0613166,0.000316641,0.000316641
21,371.669,1.61237,1.4097,1.78237,0.05096,0.72727,0.40035,0.15835,1.71049,3.47897,1.8167,0.0593288,0.00032882,0.00032882
22,384.966,1.28495,1.10781,1.48117,0.06159,0.77273,0.42628,0.20585,1.65337,3.37048,1.78317,0.0573406,0.000340603,0.000340603
23,399.864,1.28057,1.12723,1.66165,0.0602,0.81818,0.52115,0.24103,1.62063,3.19777,1.78269,0.055352,0.00035199,0.00035199
24,426.998,1.40862,1.29291,1.77869,0.05806,0.81818,0.59821,0.23257,1.68846,3.10094,1.8329,0.053363,0.000362981,0.000362981
25,442.396,1.18124,1.04248,1.49115,0.72516,0.4805,0.62838,0.21414,1.76992,2.98145,1.90197,0.0513736,0.000373576,0.000373576
26,451.788,1.69248,1.16079,1.59269,0.8585,0.45455,0.66798,0.26648,1.66601,2.87655,1.77224,0.0493838,0.000383775,0.000383775
27,465.943,1.43839,1.13992,1.81089,1,0.45401,0.72958,0.33602,1.60284,2.7525,1.64739,0.0473936,0.000393578,0.000393578
28,476.259,1.16489,0.88167,1.29176,1,0.45401,0.72958,0.33602,1.60284,2.7525,1.64739,0.045403,0.000402985,0.000402985
29,499.264,1.21021,1.19941,1.46799,1,0.6051,0.78634,0.386,1.62551,2.71515,1.63978,0.043412,0.000411996,0.000411996
30,512.458,1.16316,0.98052,1.37375,1,0.30651,0.79947,0.46526,1.59744,2.5887,1.61839,0.0414206,0.000420611,0.000420611
31,524.685,1.511,1.04063,1.63595,1,0.30651,0.79947,0.46526,1.59744,2.5887,1.61839,0.0394288,0.00042883,0.00042883
32,541.041,1.21116,0.91311,1.36415,1,0.42812,0.8406,0.51431,1.47275,2.41523,1.52862,0.0374367,0.000436653,0.000436653
33,550.917,1.2761,0.97238,1.38407,0.92944,0.59921,0.88412,0.53703,1.48965,2.14406,1.56289,0.0354441,0.00044408,0.00044408
34,565.681,1.34432,0.89601,1.43795,0.92944,0.59921,0.88412,0.53703,1.48965,2.14406,1.56289,0.0334511,0.000451111,0.000451111
35,576.97,1.23491,0.83625,1.31769,0.93632,0.66894,0.92359,0.55936,1.45158,1.89249,1.54494,0.0314577,0.000457746,0.000457746
36,586.96,1.36855,0.9229,1.41664,0.94088,0.72366,0.94536,0.51852,1.51577,1.63188,1.63332,0.029464,0.000463985,0.000463985
37,593.467,1.4298,1.21535,1.34945,0.94088,0.72366,0.94536,0.51852,1.51577,1.63188,1.63332,0.0274698,0.000469828,0.000469828
38,607.107,1.34488,0.89674,1.54108,0.94622,0.80027,0.94824,0.50203,1.5825,1.42578,1.72546,0.0254753,0.000475275,0.000475275
39,617.627,1.33676,0.87325,1.30986,0.9502,0.90909,0.94969,0.54948,1.47202,1.25835,1.58657,0.0234803,0.000480326,0.000480326
